Protein name	Definition	Vrial interaction partner	Molecular function
MEOX2	Homeobox protein MOX-2	6	Protein binding; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity
DVL2	Segment polarity protein dishevelled homolog DVL-2	4	Frizzled binding; identical protein binding; protein binding; protein domain specific binding; signal transducer activity
DVL3	Segment polarity protein dishevelled homolog DVL-3	4	Beta-catenin binding; frizzled binding; protease binding; protein binding; protein heterodimerization activity; receptor binding; signal transducer
FXR2	Fragile X mental retardation syndrome-related protein 2	4	Protein binding; RNA binding
KPNA3	Importin subunit alpha-3	4	Nuclear localization sequence binding; protein binding; protein C-terminus binding; protein transporter activity
TFCP2	Alpha-globin transcription factor CP2	4	DNA binding; protein binding; sequence-specific DNA binding transcription factor activity
BANP	Protein BANP	3	DNA binding
CEP70	Centrosomal protein of 70 kDa	3	Protein binding
CREB3	Cyclic AMP-responsive element-binding protein 3	3	Camp response element binding protein binding; CCR1 chemokine receptor binding; DNA binding; protein binding
GNB2L1	Guanine nucleotide-binding protein subunit beta-2-like 1	3	Ion channel inhibitor activity; protein binding; protein kinase C binding; protein phosphatase binding; protein tyrosine inhibitor activity; receptor binding; receptor tyrosine kinase binding; SH2 domain binding
KPNA1	Importin subunit alpha-1	3	Protein binding; protein transporter activity; nuclear localization sequence binding
MAGEA11	Melanoma-associated antigen 11	3	Protein binding
PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	3	1-phosphatidylinositol-3-kinase activity; GTPase activator activity; phosphatidylinositol 3-kinase regulator activity; protein binding
RBPMS	RNA-binding protein with multiple splicing	3	Nucleotide binding; poly(A) RNA binding; protein binding; RNA binding; transcription coactivator activity
HSP90AA1	Heat shock protein HSP 90-alpha	2	ATP binding; ATPase activity; identical protein binding; nitric-oxide synthase regulator activity; nucleotide binding; protein binding; protein humodimerization activity; TPR domain binding; unfolded protein binding
KPNA2	Importin subunit alpha-2	2	Histone deacetylase binding; nuclear localization sequence binding; protein binding; protein transporter activity
KPNA4	Importin subunit alpha-4	2	Protein binding; protein tranporter activity
KPNA6	Importin subunit alpha-7	2	Protein binding; protein transporter activity
MAPK9	Mitogen-activated protein kinase 9	2	ATP binding; JUN kinase activity; MAP kinase activity; nucleotide binding; protein binding; protein serine/threonine kinase activity
PRKRA	Interferon-inducible double stranded RNA-dependent protein kinase activator A	2	Double-stranded RNA binding; enzyme activator activity; pritein binding; protein homodimerization activity
STAU1	Double-stranded RNA-binding protein Staufen homolog 1	2	Double-stranded RNA binding; protein binding
TCF12	Transcription factor 12	2	uncharactrized
TRAF1	TNF receptor-associated factor 1	2	Protein binding; zinc ion binding
UBE2I	SUMO-conjugating enzyme UBC9	2	Acid-amino acid ligase activity; ATP binding; bHLH transcription factor binding; enzyme binding; HLH domain binding; nucleotide binding; protein binding; protein C-terminus binding; SUMO ligase activity; transcription factor binding; ubiqutin-protein ligase activity
USHBP1	Usher syndrome type-1C protein-binding protein 1	2	PDZ domain binding; protein binding
ZNF346	Zinc finger protein 346	2	Double-stranded RNA binding; metal ion binding; zinc ion binding
